 	Label	X	Y	Major	Minor	Angle
166	CombinedStack-1.tif:YPE_042515_009_RFPstack_007	124.816	125.933	77.226	59.404	172.057
167	CombinedStack-1.tif:YPE_042515_011_RFPstack_009	99.902	99.015	60.338	51.024	120.153
168	CombinedStack-1.tif:YPE_042515_011_RFPstack_009	143.268	141.589	91.467	73.095	121.005
169	CombinedStack-1.tif:YPE_042515_013_RFPstack_010	123.532	126.446	71.025	55.842	40.970
170	CombinedStack-1.tif:YPE_042515_013_RFPstack_011	180.375	95.606	42.489	35.210	3.229
171	CombinedStack-1.tif:YPE_042515_013_RFPstack_011	118.557	115.477	92.943	80.688	174.123
172	CombinedStack-1.tif:YPE_042515_015_RFPstack_012	121.299	121.894	94.620	71.534	80.247
173	CombinedStack-1.tif:YPE_042515_017_RFPstack_013	89.754	107.910	27.872	20.511	138.694
174	CombinedStack-1.tif:YPE_042515_017_RFPstack_013	134.154	126.977	88.990	72.654	14.174
175	CombinedStack-1.tif:YPE_042515_017_RFPstack_014	126.867	97.681	103.987	76.735	7.352
176	CombinedStack-1.tif:YPE_042515_017_RFPstack_014	92.576	153.138	56.328	48.735	96.092
177	CombinedStack-1.tif:YPE_042515_017_RFPstack_015	129.414	124.778	85.613	68.203	166.135
178	CombinedStack-1.tif:YPE_042515_019_RFPstack_016	120.584	130.968	86.362	78.507	25.180
179	CombinedStack-1.tif:YPE_042515_019_RFPstack_017	86.006	108.553	52.133	35.878	155.513
180	CombinedStack-1.tif:YPE_042515_019_RFPstack_017	147.349	128.830	99.530	72.828	33.431
181	CombinedStack-1.tif:YPE_042715_001_RFPstack_018	118.319	121.268	100.709	75.667	160.857
182	CombinedStack-1.tif:YPE_042715_001_RFPstack_019	128.106	125.613	86.139	66.604	66.209
183	CombinedStack-1.tif:YPE_042715_001_RFPstack_020	121.211	124.153	89.591	69.964	64.119
184	CombinedStack-1.tif:YPE_042715_001_RFPstack_022	124.678	118.904	80.349	72.276	139.530
185	CombinedStack-1.tif:YPE_042715_001_RFPstack_022	147.300	158.022	16.448	13.933	162.833
186	CombinedStack-1.tif:YPE_042715_003_RFPstack_023	122.840	131.062	67.533	63.970	13.796
187	CombinedStack-1.tif:YPE_042715_003_RFPstack_024	126.177	133.194	86.525	65.777	8.112
188	CombinedStack-1.tif:YPE_042715_003_RFPstack_026	121.932	122.494	77.840	63.597	127.903
189	CombinedStack-1.tif:YPE_042715_005_RFPstack_029	164.720	117.477	97.877	77.986	158.347
190	CombinedStack-1.tif:YPE_042715_005_RFPstack_029	80.085	134.999	79.192	56.112	14.959
191	CombinedStack-1.tif:YPE_042715_005_RFPstack_030	129.515	111.767	79.457	66.789	14.539
192	CombinedStack-1.tif:YPE_042715_005_RFPstack_030	111.025	161.149	24.483	23.559	62.645
193	CombinedStack-1.tif:YPE_042715_005_RFPstack_032	119.396	127.537	79.097	62.602	9.269
194	CombinedStack-1.tif:YPE_042715_007_RFPstack_033	144.556	78.086	22.795	22.119	22.260
195	CombinedStack-1.tif:YPE_042715_007_RFPstack_033	124.686	124.930	90.650	77.953	32.497
196	CombinedStack-1.tif:YPE_042715_007_RFPstack_034	122.456	128.574	71.414	62.384	16.496
197	CombinedStack-1.tif:YPE_042715_007_RFPstack_035	93.148	95.072	24.130	20.103	171.306
198	CombinedStack-1.tif:YPE_042715_007_RFPstack_035	126.927	126.229	85.119	76.557	110.446
199	CombinedStack-1.tif:YPE_042715_007_RFPstack_036	168.381	111.361	58.802	48.459	9.879
200	CombinedStack-1.tif:YPE_042715_007_RFPstack_036	98.496	131.596	90.856	68.920	5.842
201	CombinedStack-1.tif:YPE_042715_009_RFPstack_038	96.676	94.404	71.756	63.950	143.230
202	CombinedStack-1.tif:YPE_042715_009_RFPstack_038	147.373	140.524	96.192	69.650	78.798
203	CombinedStack-1.tif:YPE_042715_009_RFPstack_039	123.338	93.632	39.538	36.196	106.468
204	CombinedStack-1.tif:YPE_042715_009_RFPstack_039	127.710	139.061	82.359	68.347	149.647
205	CombinedStack-1.tif:YPE_042715_009_RFPstack_040	128.747	123.448	79.573	70.388	73.637
206	CombinedStack-1.tif:YPE_042715_009_RFPstack_041	126.595	122.139	79.640	66.955	122.827
207	CombinedStack-1.tif:YPE_042715_011_RFPstack_043	127.343	94.163	86.220	68.299	96.338
208	CombinedStack-1.tif:YPE_042715_011_RFPstack_043	115.586	170.520	65.283	54.883	94.806
209	CombinedStack-1.tif:YPE_042715_011_RFPstack_044	122.191	123.485	68.952	59.976	89.980
210	CombinedStack-1.tif:YPE_042715_013_RFPstack_045	125.469	131.987	85.101	71.875	7.688
211	CombinedStack-1.tif:YPE_042715_013_RFPstack_046	126.960	127.168	73.629	59.694	129.200
212	CombinedStack-1.tif:YPE_042715_013_RFPstack_047	123.136	132.408	75.919	54.305	75.439
213	CombinedStack-1.tif:YPE_042715_013_RFPstack_048	127.684	87.826	18.019	16.888	67.087
214	CombinedStack-1.tif:YPE_042715_013_RFPstack_048	127.718	130.209	82.688	65.781	43.786
215	CombinedStack-1.tif:YPE_042715_013_RFPstack_049	125.559	123.068	88.462	63.617	163.803
216	CombinedStack-1.tif:YPE_042715_015_RFPstack_050	150.991	87.390	61.044	51.602	83.558
217	CombinedStack-1.tif:YPE_042715_015_RFPstack_050	121.886	162.812	108.645	83.992	21.888
218	CombinedStack-1.tif:YPE_042715_015_RFPstack_051	126.495	121.758	85.576	72.874	88.570
